[2026-04-04 11:41:06] [worker2_darcy_student_lift_wait_v1] selected gpu=0
[worker2/operator_darcy_student_lift_v1] log -> results/logs/operator_darcy_student_lift_v1/worker2/launcher.out
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1] gpu=0 seeds=0 1 2 epochs=90
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1] init_template=results/operator_ssml_tuned_v1/operator/darcy/deeponet_independent_mse_seed{seed}/model.pt
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1] peer_init_template=results/operator_ssml_tuned_v1/operator/darcy/fno_independent_mse_seed{seed}/model.pt
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] lock -> /home/namkyeong/ssmo/results/.locks/operator_darcy_student_lift_v1_ctrl_ft_lr3e4.lock
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] log -> results/logs/operator_darcy_student_lift_v1/ctrl_ft_lr3e4.log
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] output_dir=results/operator_darcy_student_lift_v1/ctrl_ft_lr3e4
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] methods=independent
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] model_pairs=deeponet:fno
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] dataset=darcy model=deeponet method=independent seed=0
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] loaded init_checkpoint=results/operator_ssml_tuned_v1/operator/darcy/deeponet_independent_mse_seed0/model.pt
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] run_dir=results/operator_darcy_student_lift_v1/ctrl_ft_lr3e4/operator/darcy/deeponet_independent_mse_seed0
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] params=592000
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator] granularity=sample student_only=False freeze_peer=False peer_updates_disabled=False
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 042] lambda=0.0000 train_mse=0.00835134 val_mse=0.01557633 val_mae=0.09272680
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 043] lambda=0.0000 train_mse=0.00844508 val_mse=0.01662089 val_mae=0.09484545
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 044] lambda=0.0000 train_mse=0.00842019 val_mse=0.01512377 val_mae=0.09066699
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 045] lambda=0.0000 train_mse=0.00851967 val_mse=0.01888321 val_mae=0.10289504
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 046] lambda=0.0000 train_mse=0.01005024 val_mse=0.01761183 val_mae=0.09997867
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 047] lambda=0.0000 train_mse=0.01284824 val_mse=0.01921744 val_mae=0.10587188
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 048] lambda=0.0000 train_mse=0.01038660 val_mse=0.01700262 val_mae=0.09622658
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 049] lambda=0.0000 train_mse=0.00886134 val_mse=0.01521388 val_mae=0.09183347
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 050] lambda=0.0000 train_mse=0.00794422 val_mse=0.01538967 val_mae=0.09198315
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 051] lambda=0.0000 train_mse=0.00755070 val_mse=0.01427745 val_mae=0.08841747
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 052] lambda=0.0000 train_mse=0.00749579 val_mse=0.01538366 val_mae=0.09152332
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 053] lambda=0.0000 train_mse=0.00756173 val_mse=0.01607354 val_mae=0.09452607
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 054] lambda=0.0000 train_mse=0.00864184 val_mse=0.01519930 val_mae=0.09210040
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 055] lambda=0.0000 train_mse=0.00827027 val_mse=0.01444560 val_mae=0.08947794
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 056] lambda=0.0000 train_mse=0.00737283 val_mse=0.01408389 val_mae=0.08776236
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 057] lambda=0.0000 train_mse=0.00688600 val_mse=0.01400737 val_mae=0.08714708
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 058] lambda=0.0000 train_mse=0.00737828 val_mse=0.01529678 val_mae=0.09099460
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 059] lambda=0.0000 train_mse=0.00745865 val_mse=0.01450171 val_mae=0.08879020
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 060] lambda=0.0000 train_mse=0.00700177 val_mse=0.01424729 val_mae=0.08740545
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 060] updated live plot
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 061] lambda=0.0000 train_mse=0.00670536 val_mse=0.01431211 val_mae=0.08841999
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 062] lambda=0.0000 train_mse=0.00708336 val_mse=0.01473971 val_mae=0.08925202
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 063] lambda=0.0000 train_mse=0.00740631 val_mse=0.01410101 val_mae=0.08729975
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 064] lambda=0.0000 train_mse=0.00679341 val_mse=0.01429353 val_mae=0.08854022
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 065] lambda=0.0000 train_mse=0.00656382 val_mse=0.01383398 val_mae=0.08695479
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 066] lambda=0.0000 train_mse=0.00851909 val_mse=0.01850261 val_mae=0.10326972
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 067] lambda=0.0000 train_mse=0.00897474 val_mse=0.01646101 val_mae=0.09433570
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 068] lambda=0.0000 train_mse=0.00744705 val_mse=0.01463311 val_mae=0.08962033
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 069] lambda=0.0000 train_mse=0.00695296 val_mse=0.01514162 val_mae=0.09026974
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 070] lambda=0.0000 train_mse=0.00677532 val_mse=0.01383796 val_mae=0.08564725
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 071] lambda=0.0000 train_mse=0.00645172 val_mse=0.01354541 val_mae=0.08497471
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 072] lambda=0.0000 train_mse=0.00615089 val_mse=0.01359336 val_mae=0.08574308
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 073] lambda=0.0000 train_mse=0.00634079 val_mse=0.01441336 val_mae=0.08839580
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 074] lambda=0.0000 train_mse=0.00795468 val_mse=0.01531039 val_mae=0.09124838
[worker2/operator_darcy_student_lift_v1] [operator_darcy_student_lift_v1/ctrl_ft_lr3e4] [operator][epoch 075] lambda=0.0000 train_mse=0.00808262 val_mse=0.01591526 val_mae=0.09331366
